john belushi
mel brooks
nudity (topless)
domestic violence
mystery
midlife crisis
cameos
obscenely funny
jude law
prequel
lewis black
sylvester stallone
clive owen
jay and silent bob
autism
vigilantism
nick frost
politics
religion
sexuality
simon pegg
tom cruise
brad pitt
morgan freeman
nudity (topless)
clive owen
john malkovich
martin scorsese
paul giamatti
nudity (rear)
drugs
alfred hitchcock
steven spielberg
racism
jon heder
trey parker
drugs
jack nicholson
jessica biel
nudity (topless)
michael moore
foreign
ambiguous ending
multiple storylines
nudity (topless)
clive owen
samuel l jackson
nudity (topless)
samuel l jackson
based on a book
vin diesel
predalien
college
edward norton
nonlinear
dreamworks
tom hanks
quentin tarantino
jim carrey
charlie kaufman
big tobacco
jack nicholson
wayans brothers
orson welles
fatherson relationship
vampire
time travel
product placement
ben affleck
pool
bruce willis
bruce willis
zombies
mental illness
monty python
hugh jackman
montypython
this is just shithaha
simon pegg
view askew
julia roberts
nudity (rear)
view askew
morgan freeman
lucy liu
stanley kubrick
pg13
cigarettes
sarah michelle gellar
will ferrell
willem dafoe
memory
edward norton
dustin hoffman
gangs
lobbyism
007 (series)
racism
religion
gene wilder
postapocalyptic
brad pitt
police corruption
julia roberts
michael caine
world war ii
bruce willis
comedy
mathematics
religion
satire
mel brooks
funny
religion
jet li
videogame
world war ii
trey parker
bruce willis
billy bob thornton
richard cheese
zombies
christian bale
nudity (topless)
radio
james stewart
own
charlton heston
oscar (best picture)
samuel l jackson
will ferrell
nudity (rear)
charlie kaufman
brad pitt
world war ii
harry potter
view askew
vigilante
monty python
monty python
nudity (topless)
video game adaptation
1900s
bruce willis
nudity (topless)
chris kattan
needles
jessica biel
robert downey jr
sequel
video game
italian
depressing
natalie portman
dramatic irony
quentin tarantino
brad pitt
tom hanks
beauty pageant
revenge
martin scorsese
frank miller
michael keaton
not remotely scary
james bond
clint eastwood
cave
divorce
russell crowe
serial killer
robert de niro
view askew
final fantasy
bruce willis
robert de niro
oscar (best picture)
bruce willis
monty python
bruce willis
tom cruise
