benicio del toro
very good for kids
very strange
afternoon section
kate hudson
emma thompson
adventure
dustin hoffman
boring
afternoon section
julia roberts
tim burton
natalie portman
david carradine
guy pearce
afternoon section
very clever
kar wai wong
violence
wes craven
boring
boring
helen hunt
morgan freeman
very interesting
boring
benicio del toro
samuel l jackson
afternoon section
john turturro
kenneth branagh
funny
fernando meirelles
ralph fiennes
afternoon section
afternoon section
very clever
john cusack
drugs
afternoon section
very boring
michelle pfeiffer
afternoon section
very good for kids
afternoon section
boring
afternoon section
werner herzog
boring
boring
alice braga
very clever
funny
classic
trash
boring
very estrange
janet leigh
boring
the original is better
woody allen
kate winslet
luis bunuel
boring
daniel daylewis
very interesting
afternoon section
boring
boring
boring
classic
for kids
afternoon section
afternoon section
afternoon section
stephen rea
afternoon section
fantasy
boring
philip seymour hoffman
afternoon section
very interesting
very interesting
nicolas cage
robert downey jr
sigourney weaver
boring
boring
quentin tarantino
trash
robert altman
trash
boring
afternoon section
very interesting
christopher lloyd
xfiles
matheus nachtergaele
so so
very interesting
ridley scott
gay
boring
very funny
classic
classic
very interesting
classic
afternoon section
brad pitt
afternoon section
boring
very interesting
funny
boring
trash
boring
a classic
very interesting
boring
robert duvall
sergio leone
funny
boring
stanley kubrick
a classic
marlon brando
the film
very funny
the best of terminator
boring
action
afternoon section
boring
woody allen
kate winslet
afternoon section
christopher lloyd
antonio banderas
afternoon section
afternoon section
ed harris
gary oldman
quentin tarantino
fantasy
very interesting
boring
afternoon section
afternoon section
gay
afternoon section
matt damon
jodie foster
philip seymour hoffman
more or less
the original is better
boring
julianne moore
afternoon section
violence
roman polanski
sex
stanley kubrick
very clever
boring
afternoon section
brad pitt
jack nicholson
funny
boring
afternoon section
very funny
afternoon section
afternoon section
boring
cate blanchett
afternoon section
boring
sigourney weaver
boring
boring
good for kids
boring
kirsten dunst
boring
boring
madeleine stowe
funny
afternoon section
brian de palma
action
boring
boring
to kids
boring
afternoon section
emma thompson
violence
steven spielberg
afternoon section
classic
julianne moore
julianne moore
funny
funny
afternoon section
werner herzog
gary sinise
very interesting
jeanpaul belmondo
takeshi kitano
boring
very clever
trash
tom hanks
more or less
daniel daylewis
funny
al pacino
boring
johnny depp
nicolas cage
julianne moore
russell crowe
boring
boring
tobey maguire
julianne moore
tom hanks
the best of
ang lee
funny
very funny
madonna
a classic
godard
afternoon section
boring
monty python alumni
olivia newtonjohn
ridley scott
geoffrey rush
sean young
good photography
funny
boring
afternoon section
boring
boring
mathieu kassovitz
afternoon section
boring
very interesting
emotion
alfred hitchcock
afternoon section
leonor watling
harrison ford
afternoon section
dogma 95
monty python alumni
boring
nicole kidman
very good edition
very funny
the best of jaws
very good for kids
a classic
action
very clever
very interesting
the japanese is better
very interesting
very interesting
afternoon section
boring
afternoon section
boring
boring
very interesting
afternoon section
vincent cassel
emma thompson
a classic
morgan freeman
boring
very interesting
harrison ford
a classic
stanley kubrick
boring
afternoon section
natalie portman
very interesting
jean reno
afternoon section
jack nicholson
its all true
david lynch
very clever
afternoon section
boring
tom cruise
trash
madeleine stowe
keanu reeves
afternoon section
cate blanchett
afternoon section
ziyi zhang
annette bening
afternoon section
very clever
afternoon section
afternoon section
very good thriller
mathieu kassovitz
boring
classic
uma thurman
steve mcqueen
