scifi
nonlinear
vampires
david lynch
morgan freeman
mel gibson
heist
scifi
angelina jolie
david lynch
brad pitt
edward norton
brad pitt
brad pitt
true story
jason statham
m night shyamalan
al pacino
winona ryder
bruce willis
psychology
psychology
johnny depp
johnny depp
based on a book
al pacino
angelina jolie
brad pitt
scifi
comic book
vampire
nicolas cage
marvel
tom cruise
space
studio ghibli
matt damon
organized crime
psychology
scifi
mafia
vampire
surreal
johnny depp
drugs
nicolas cage
marvel
angelina jolie
brad pitt
johnny depp
organized crime
fantasy
edward norton
roman polanski
vampires
al pacino
cars
vampire
johnny depp
dark comedy
brad pitt
organized crime
postapocalyptic
johnny depp
time travel
david lynch
drugs
jessica biel
psychology
johnny depp
bruce willis
superheroes
antonio banderas
johnny depp
nicolas cage
organized crime
keanu reeves
satanism
serial killer
george clooney
vampires
angelina jolie
drugs
vampires
keanu reeves
johnny depp
angelina jolie
crime
serial killer
based on a book
mafia
johnny depp
jennifer garner
wesley snipes
marvel
computer game
drugs
angelina jolie
vampire
serial killer
postapocalyptic
rare
golden palm
psychology
marvel
wesley snipes
based on a book
fantasy
organized crime
pixar
brad pitt
angelina jolie
espionage
